Lot.Area,Bedroom.AbvGr,SalePrice
9650,2,167.9
10140,3,213.25
8400,3,227.0
7130,2,130.0
9600,3,143.0
9100,2,117.5
9600,4,168.5
16500,3,172.5
9790,3,161.5
7436,2,141.5
8125,3,118.0
9100,2,127.5
9450,3,140.0
13495,3,177.625
11475,4,110.0
10004,3,167.0
9350,3,153.0
10500,3,145.1
11000,3,154.0
8970,4,177.5
12095,3,158.0
9600,3,124.5
11475,4,174.5
9768,2,122.0
5330,2,82.5
7015,3,110.0
12160,2,149.5
9900,2,175.0
9600,3,167.0
9600,2,128.9
9600,3,140.0
9600,3,147.0
8944,4,124.0
10573,3,187.5
9500,3,159.0
14695,2,256.0
13600,3,205.0
13000,4,193.5
13560,2,110.0
12513,4,104.9
8760,3,150.0
8400,3,156.5
12285,3,176.0
9240,3,149.5
9600,3,139.0
12400,3,155.0
8750,3,120.0
8750,3,153.0
10400,3,144.0
19296,3,176.0
8532,3,153.0
9482,4,135.0
8128,3,131.0
10634,3,123.0
13070,2,126.0
10434,2,115.0
14559,2,164.9
8480,2,113.0
7626,2,145.5
9533,2,102.9
10615,3,95.0
11419,3,152.5
9600,3,129.9
8000,2,132.0
5470,2,99.9
10410,3,135.0
10800,4,149.0
8146,2,114.0
9022,2,109.5
10230,3,125.0
10410,3,142.9
7200,4,156.5
5400,2,59.0
5400,2,105.0
10800,2,106.0
10800,1,78.5
9671,6,190.0
10143,3,154.0
11500,3,163.0
11643,6,200.0
8010,2,143.5
10454,3,135.0
8712,2,153.0
17600,3,157.5
9000,2,113.5
12144,3,133.0
8544,2,92.9
8064,3,128.5
7200,2,90.0
7200,3,138.0
7350,3,128.0
7560,3,139.0
7200,2,118.9
8000,3,138.0
7931,3,132.5
10800,4,133.5
8064,3,135.0
7570,4,144.75
8604,2,145.0
7936,3,127.0
6600,2,109.5
3950,3,115.0
10440,2,110.0
4080,3,128.9
10307,4,103.5
5720,3,66.5
15660,3,130.0
9900,3,129.0
6406,3,150.0
6600,4,107.5
7627,4,94.55
7596,4,124.5
3378,3,135.0
10134,3,103.0
6000,2,93.0
6000,3,129.5
6000,3,93.0
7404,2,80.0
5925,1,45.0
5925,2,37.9
5784,2,91.3
8520,2,99.5
4456,2,113.0
9600,3,87.5
3500,2,110.0
8100,2,106.0
11700,4,265.979
8400,3,160.0
3600,3,119.0
17671,4,168.0
3300,2,58.5
9000,3,143.0
7200,2,85.0
8820,2,124.9
5400,3,119.0
9720,4,146.5
7879,2,34.9
9392,2,44.0
21384,3,223.5
6615,3,149.0
7264,3,205.0
4960,3,137.0
8854,2,121.0
6000,3,128.0
6000,2,134.9
6000,3,117.0
6000,4,132.5
6000,3,93.0
6000,2,119.0
6911,2,100.0
6120,3,141.5
6120,3,133.0
6120,1,60.0
6120,2,105.0
6120,2,115.0
6120,3,150.0
8635,2,126.5
11888,5,214.5
11414,3,167.5
8094,3,155.0
2500,4,155.0
9928,3,179.9
5520,5,104.0
3000,4,62.5
6876,4,149.0
6240,2,103.0
5775,3,123.0
5852,6,97.5
5160,3,135.0
5160,1,70.0
10320,3,116.0
4280,2,88.75
10800,3,179.0
10800,3,179.0
10547,2,159.9
10020,1,61.0
6629,3,103.6
9780,4,63.0
12886,3,175.0
8816,3,139.0
11184,3,172.5
11625,3,113.5
7800,3,130.0
8014,3,149.9
7252,2,134.9
8740,2,137.0
11616,3,139.0
15400,4,165.0
15312,3,148.0
15584,4,165.0
9000,2,63.9
11250,5,161.5
25095,1,143.0
17140,3,135.0
12342,1,82.5
10708,2,190.0
13680,4,139.6
15635,2,122.0
9855,3,127.5
9571,2,121.5
9571,3,60.0
9350,3,154.4
9340,2,113.0
7440,3,125.0
11500,3,84.0
4235,2,139.5
11409,3,131.0
9060,2,105.0
9084,4,108.0
10778,1,162.0
19255,2,156.5
12327,1,316.6
14684,3,271.9
9317,3,213.0
10560,3,239.9
9828,3,239.5
26400,4,131.0
7018,4,118.964
7018,2,153.337
7018,6,147.983
7018,4,118.858
7018,4,118.858
7018,6,142.953
7040,2,148.325
7007,4,113.722
11855,6,269.5
7939,6,269.5
7976,6,269.5
10933,1,323.262
10637,3,297.0
10226,3,295.493
10816,3,332.0
9178,3,239.9
10769,3,212.0
11422,3,272.5
11923,2,239.0
8814,3,220.0
6762,2,200.0
10324,2,221.8
7314,2,194.5
11645,3,237.0
11646,3,173.0
12800,2,275.0
16698,3,233.5
28698,3,185.0
12464,3,152.0
9757,3,143.0
15426,3,231.5
10667,3,212.0
14753,3,207.0
10859,3,145.0
8072,3,138.0
10400,3,197.9
10335,3,204.0
9017,3,192.0
8750,3,200.0
8935,3,195.0
9808,3,227.0
12420,3,230.0
16285,3,187.1
10739,3,203.0
11166,3,201.0
8430,3,124.0
16269,3,140.0
6950,2,134.9
8800,3,150.5
7000,3,136.5
9286,3,143.5
15523,3,133.5
7200,2,123.0
7200,2,133.9
8445,2,133.0
11664,3,250.0
12334,4,254.75
11838,3,236.5
11885,3,261.5
11050,3,313.0
8749,3,198.5
11250,3,211.0
15750,2,220.0
11883,3,203.0
12782,3,279.5
8750,3,210.0
9375,3,219.5
8750,2,191.0
9100,3,178.0
9750,3,213.0
4435,1,144.0
4435,1,140.0
10200,3,293.2
9313,3,190.0
8487,3,190.0
8633,3,173.5
11069,3,170.0
8777,2,108.0
9937,3,167.0
8877,2,100.0
7301,4,198.5
7950,3,159.5
10682,3,127.0
7200,3,125.0
13286,3,320.0
3675,2,145.5
9405,2,118.0
6410,3,85.0
11767,3,120.0
8405,4,98.0
4060,2,99.9
10206,2,82.0
10926,6,119.9
11767,2,103.5
8926,3,112.0
12354,3,110.0
8212,3,122.0
10998,3,117.0
6300,3,160.0
4500,3,159.434
8400,1,60.0
9900,3,139.5
15863,5,197.0
5707,3,105.0
7804,4,135.0
8574,3,147.5
6171,3,137.45
7200,3,155.0
7558,3,177.0
6292,3,145.0
7155,3,137.0
10918,3,234.0
13680,2,205.0
7500,3,177.5
9600,2,160.0
14680,2,155.0
13360,2,163.5
7681,3,154.9
8145,5,205.0
9100,2,144.8
12000,3,174.5
13339,3,193.0
15600,3,158.0
14000,3,158.5
17500,3,224.0
1733,2,115.0
1488,2,137.0
1612,2,121.0
1300,2,124.0
13607,3,208.0
17597,3,315.0
21695,3,222.0
10690,3,147.0
8660,5,123.0
6402,3,78.0
8470,2,85.0
10200,2,75.0
3843,2,230.0
21780,1,57.625
10125,3,251.0
12822,1,239.686
12118,3,240.0
12209,3,215.0
9750,2,156.45
9360,2,173.0
10125,4,126.0
9947,3,173.0
11070,2,152.0
14375,3,137.5
215245,3,375.0
12898,2,315.5
13159,3,224.5
13438,3,410.0
14463,3,316.5
8925,3,201.0
11457,3,175.0
9839,3,204.0
14419,3,213.5
6853,2,220.0
9157,3,170.0
14601,2,315.0
12633,2,425.0
12518,3,139.5
21750,3,115.0
4500,2,162.0
4500,2,165.0
1596,2,91.0
9858,3,130.0
1526,1,86.0
13383,3,160.0
1477,1,80.0
1533,3,97.0
2217,3,88.0
7689,2,131.9
7706,2,131.25
9101,1,165.5
8780,3,112.0
7669,2,149.0
14115,1,143.0
10429,3,130.0
9819,2,196.0
10457,4,173.0
11029,3,176.5
12925,4,237.5
11075,4,206.9
8702,3,187.5
8139,3,165.0
9535,3,195.5
9042,3,192.0
15038,3,173.0
14137,3,177.9
21872,3,175.0
4923,0,286.0
6264,1,247.9
5395,2,180.0
5070,2,180.0
10839,3,181.0
11184,3,183.0
8000,3,188.0
10832,3,194.5
14067,3,185.0
4671,2,189.0
5950,2,188.5
13543,5,355.0
11198,4,325.0
15401,2,387.0
31220,3,115.0
8118,2,334.0
47280,3,133.0
20544,3,215.0
12680,2,226.5
12090,3,175.5
10825,3,181.9
18559,3,235.0
14450,3,220.0
12227,4,272.0
13068,3,161.0
15611,3,175.0
10400,3,185.0
9743,3,146.9
12511,4,292.5
11361,3,180.0
10400,2,159.9
10480,4,205.0
10000,3,157.0
14311,4,306.0
9000,4,133.0
9750,3,151.0
10295,2,111.9
7560,3,123.0
12735,3,111.25
4060,2,181.0
1680,2,103.4
1680,2,100.0
1890,2,100.5
1869,2,106.0
1680,2,85.4
1680,2,89.5
1680,3,111.75
4043,2,140.0
2308,4,143.0
2529,2,148.5
9477,3,110.0
12444,2,394.617
12474,3,426.0
14803,2,385.0
14948,3,446.261
12704,3,317.5
13891,2,372.402
13693,4,417.5
14418,2,383.0
13418,4,390.0
12539,4,460.0
12151,3,379.0
8899,4,250.0
10574,4,316.0
12720,1,615.0
13688,3,412.5
10625,3,284.0
10845,2,284.0
16900,4,421.25
16451,4,370.0
10110,2,336.86
8769,1,367.294
12304,2,192.0
12677,1,274.0
8849,2,266.0
8232,2,370.967
6240,2,234.25
6240,2,219.5
2448,2,155.0
2448,2,154.0
8198,2,207.0
3940,2,195.0
3940,2,219.99
3182,2,191.0
3182,2,159.895
3710,2,187.687
9024,3,179.0
7415,3,193.0
9587,2,190.0
8029,3,176.0
8010,3,188.0
8396,4,213.0
7301,2,217.3
10261,3,186.5
8220,3,226.75
15384,3,184.0
7750,3,176.0
12460,4,225.0
8390,3,185.9
9660,3,284.5
9200,4,315.0
14260,4,250.0
11000,4,291.0
11675,2,350.0
10990,4,279.5
11929,4,290.0
10437,2,350.0
10542,3,341.0
10010,4,287.5
10944,3,271.0
14303,2,301.5
11932,3,235.128
14598,4,214.0
11957,3,232.0
13253,3,240.0
14587,2,264.132
10206,3,245.0
12274,3,227.68
9801,3,257.0
9428,3,297.9
10037,3,247.0
8640,3,212.7
8640,3,250.58
11639,3,182.0
9803,3,226.7
9375,3,250.0
10625,3,250.0
10800,3,339.75
8125,3,205.95
10625,3,256.0
7500,2,230.348
8791,3,207.5
7500,3,141.0
10110,3,188.0
12774,3,192.5
13072,3,146.0
13695,3,159.0
13695,3,155.0
8366,3,173.0
9260,3,170.0
8453,3,182.0
8480,3,163.0
8125,3,193.5
14565,3,189.0
8450,3,190.5
8285,3,175.0
7153,3,179.2
9291,3,187.0
8012,2,193.0
7892,2,153.9
9100,3,128.0
12968,2,144.0
8100,3,135.0
8450,3,115.0
6360,3,119.916
6768,3,142.0
19508,3,192.0
10759,4,140.0
9205,4,290.0
11025,4,372.5
4282,2,196.0
4017,2,171.9
3435,1,178.0
3180,2,165.0
3180,2,146.0
3604,2,146.0
2280,3,179.4
2280,3,172.9
4765,2,300.0
4538,1,285.0
4385,2,290.0
4109,2,305.0
5119,2,328.9
2160,2,160.0
2160,3,170.0
10646,3,223.0
2645,3,170.0
2645,3,200.0
3951,2,345.0
14963,1,245.5
11064,1,217.5
10846,1,324.0
11120,3,162.5
24572,3,150.0
16280,3,290.0
7500,3,205.0
10400,3,174.0
11104,4,183.0
11050,4,150.0
11040,3,145.0
15387,4,215.0
9750,4,140.5
10800,4,240.0
8814,4,141.0
8872,2,147.0
8125,3,135.0
11072,6,145.0
13101,6,142.6
9246,4,135.0
13355,4,170.0
8963,4,299.8
9120,4,185.0
9130,4,173.0
12122,3,178.4
9900,4,176.0
7785,2,98.0
8593,3,109.008
8475,2,135.75
8700,3,155.0
10175,3,180.5
9020,3,174.9
9200,3,140.0
8250,3,145.0
9350,3,179.9
9020,3,168.5
9900,3,140.0
10007,3,145.5
10721,3,142.0
12493,3,141.0
11332,3,153.0
6627,2,72.5
4130,2,52.0
7420,2,118.0
4882,2,87.0
9600,3,141.5
9600,3,119.0
9600,3,141.5
9600,3,165.5
7584,3,112.9
13700,4,201.8
10197,3,163.0
7875,3,139.95
8400,3,174.0
9150,3,165.0
14670,4,227.0
7390,3,135.0
9204,3,124.0
7763,3,140.0
8856,3,136.5
9840,2,185.0
9120,3,163.0
13200,3,166.8
9000,2,139.0
11900,3,166.0
9464,3,136.0
10425,3,133.0
11556,2,116.0
9373,3,137.5
12774,2,130.0
14250,3,180.0
7350,2,139.0
7677,2,110.0
8838,4,100.0
8480,2,118.5
12436,5,146.0
10122,1,89.9
7506,3,114.0
10930,3,140.0
5400,2,86.9
10836,3,139.0
10800,3,106.25
9247,4,171.0
10180,3,139.0
11355,3,186.0
10920,2,157.0
12929,3,148.0
27650,4,242.0
8892,3,116.0
7200,2,94.0
7200,3,98.3
7910,4,127.0
8000,3,159.0
8000,3,125.9
7931,3,155.0
8064,3,138.0
6390,2,112.5
7227,2,105.5
7200,4,127.5
8513,6,130.0
7200,3,150.0
7200,2,109.5
7056,4,140.0
9760,4,167.9
7590,3,136.87
9836,3,143.0
5232,2,73.0
10440,3,157.5
9184,3,122.6
4800,2,111.0
10440,5,256.0
4800,2,64.0
6000,4,139.5
11426,3,118.0
11426,3,200.0
7628,2,119.164
7308,2,122.25
5400,2,120.0
10800,3,155.0
6756,2,78.0
5914,3,95.0
6000,2,115.0
12000,2,147.0
9000,3,140.0
7311,1,46.5
6000,3,112.5
6000,2,107.9
12205,5,65.0
18386,3,295.0
9142,4,139.5
12665,4,153.9
5350,3,132.0
4571,4,98.0
9143,2,114.0
9600,4,130.0
9600,3,129.5
6000,3,129.4
9600,3,161.0
10800,3,163.0
6300,3,128.0
5250,4,122.0
5700,2,116.9
13500,3,325.0
11340,2,55.0
10800,5,184.0
9750,2,110.0
12150,4,131.5
12702,2,97.0
8516,2,115.5
7111,2,138.0
7425,3,108.0
9100,2,79.5
7010,3,153.0
6130,2,109.5
5000,3,124.0
5870,3,106.9
6000,3,164.9
6000,2,119.0
6000,3,120.0
6000,3,157.0
6000,2,105.0
5000,3,113.0
5520,3,115.0
5940,2,79.0
6240,2,123.0
6120,1,81.3
6240,3,162.9
6240,4,150.0
6120,4,123.5
6120,2,129.9
6155,3,128.0
6324,1,68.5
8635,2,127.0
13053,4,207.0
9120,4,184.0
9144,4,162.5
9144,3,145.0
10267,2,130.0
8094,5,160.0
5100,3,161.0
4347,3,127.5
6291,1,93.85
10266,4,136.0
6876,4,141.0
10320,2,120.0
7200,2,127.5
7006,3,127.0
7920,3,89.5
8235,2,125.0
5586,4,79.9
10320,1,85.0
10320,3,82.375
10320,3,135.0
9488,3,124.0
8250,3,134.0
21286,4,135.0
17120,4,134.432
10106,4,127.5
11235,3,148.0
11200,3,129.5
13014,3,157.5
7162,3,109.9
10265,3,145.0
9764,3,130.0
7703,3,153.0
9981,3,120.0
7400,2,152.0
12900,0,108.959
12900,3,95.541
9000,3,80.0
8544,3,149.35
9239,3,144.9
14175,1,185.0
13284,3,165.0
13500,1,235.0
13825,3,140.0
10200,2,108.0
10532,3,145.0
8375,2,152.4
10200,3,144.0
2887,2,173.0
10005,4,192.0
20270,3,245.0
39104,2,241.5
53227,2,256.0
11512,2,177.0
5190,2,125.6
10452,3,155.0
45600,5,240.0
19550,2,260.0
21780,4,185.0
13728,4,235.0
9571,3,159.9
9350,2,99.6
9360,3,134.5
8405,4,119.0
7000,3,107.5
10880,3,125.0
9600,2,79.0
9084,3,95.0
11839,4,262.28
9771,4,260.0
9938,3,226.5
14171,4,225.0
10541,3,229.0
10616,3,177.439
9345,3,248.5
11778,3,475.0
11778,3,395.039
11228,3,228.0
11454,3,225.0
11500,2,195.0
12798,4,200.0
9750,3,155.0
9525,3,144.0
9245,3,145.0
8696,3,226.001
13142,3,215.7
8998,3,207.5
9179,3,193.0
8924,3,188.0
9382,3,191.0
12803,3,221.0
12435,3,231.5
12192,3,235.0
11250,3,223.5
9200,3,130.25
8385,3,149.9
12250,3,158.0
10970,3,147.0
9216,3,143.195
14330,2,163.0
7990,3,110.0
7180,3,127.0
7200,2,124.9
9742,3,230.0
9473,3,237.0
10316,3,235.0
10400,3,230.5
9066,3,230.0
11404,3,222.5
9240,3,287.0
9720,3,274.0
14860,3,300.0
11250,4,255.9
8158,3,224.9
10905,4,240.0
7226,3,183.0
11690,3,207.0
8750,4,210.0
4435,1,136.5
4426,1,145.0
13125,3,208.9
10126,2,185.0
9135,3,214.0
8450,3,208.5
9750,3,186.5
8450,3,210.0
8320,3,185.9
11049,3,179.9
11058,3,218.836
9627,3,193.0
8199,3,189.0
4426,1,149.3
4426,1,141.0
4438,1,149.0
4438,1,144.5
8777,2,85.0
8777,4,145.9
9825,3,123.0
9937,3,147.5
12102,3,165.0
6500,3,135.0
13907,3,108.0
10012,3,137.5
6931,3,165.4
9638,3,147.0
7200,3,160.5
7024,2,176.0
47007,5,284.7
63887,3,160.0
3675,2,148.0
6040,2,82.0
6012,2,82.0
12108,4,118.0
6845,2,82.5
6931,2,91.9
12180,2,120.0
8050,4,96.0
9520,2,99.0
11767,3,130.5
8172,4,135.0
16466,3,135.5
7692,3,100.0
5142,3,108.0
5604,2,98.0
8248,2,67.0
5687,6,135.9
12155,4,140.0
8400,4,179.5
8400,4,136.5
7290,2,168.0
8525,4,130.0
9842,4,189.0
7804,4,161.9
8969,2,145.0
11526,3,191.0
15576,4,177.0
15564,3,147.5
6292,2,91.0
7609,3,231.0
10480,3,115.0
9650,4,138.0
7200,3,149.0
11988,3,188.7
11700,4,198.0
9260,3,110.0
7801,2,104.0
9670,4,257.076
14100,4,381.0
15660,3,311.5
12392,3,263.4
26073,3,236.5
14778,3,224.0
1879,2,116.5
1950,3,151.0
7000,2,126.0
6000,3,120.0
3636,2,55.0
5890,2,120.5
6900,2,120.5
8155,4,119.0
